"Steps"	"weightUpdate"	"Level"	"PotentialEnergy"	"1 Weight"	"0.75 Weight"	"0.5 Weight"	"0.3 Weight"	"0.1 Weight"	"0.05 Weight"	"0.01 Weight"	"0.005 Weight"	"0.001 Weight"	"0 Weight"
2875000	0.015625	0	-12399.4	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.4375
2876000	0.015625	0	-12467.8	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.45312
2877000	0.015625	0	-12497.6	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.46875
2878000	0.015625	0	-12336.1	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.46875
2879000	0.015625	0	-12311.2	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.48438
2880000	0.015625	0	-12390	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.5
2881000	0.015625	0	-12450.4	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.5
2882000	0.015625	0	-12366.4	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.51562
2883000	0.015625	0	-12475.9	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.53125
2884000	0.015625	0	-12477	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.53125
2885000	0.015625	0	-12492.2	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.39062	-4.54688
2886000	0.015625	0.001	-12411.3	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.54688
2887000	0.015625	0.001	-12564.9	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.54688
2888000	0.015625	0	-12550	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.5625
2889000	0.015625	0	-12479.1	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.57812
2890000	0.015625	0	-12477.2	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.57812
2891000	0.015625	0	-12463.9	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.59375
2892000	0.015625	0	-12450.6	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.60938
2893000	0.015625	0	-12627.9	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.60938
2894000	0.015625	0	-12572	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.625
2895000	0.015625	0	-12486.9	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.64062
2896000	0.015625	0	-12406.4	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.64062
2897000	0.015625	0	-12519.9	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.65625
2898000	0.015625	0	-12547.7	0	1.39062	2.51562	2.76562	2.39062	2	-0.140625	-0.921875	-2.40625	-4.67188
